Config,r_N,eta,Function,Dimension,Run,Best
rn10_eta0.2,10.0,0.2,F4,30,2,6.964713399653078
rn10_eta0.2,10.0,0.2,F4,30,3,7.959672456746432
rn10_eta0.2,10.0,0.2,F4,30,4,11.939508685119565
rn10_eta0.2,10.0,0.2,F4,30,5,4.9747952854664845
rn10_eta0.2,10.0,0.2,F4,30,6,6.964713399653078
rn10_eta0.2,10.0,0.2,F4,30,7,5.969754342559781
rn10_eta0.2,10.0,0.2,F4,30,8,4.9747952854664845
rn10_eta0.2,10.0,0.2,F4,30,9,6.964713399653078
rn10_eta0.2,10.0,0.2,F5,10,0,0.0
rn10_eta0.2,10.0,0.2,F5,10,1,0.0
rn10_eta0.2,10.0,0.2,F5,10,2,0.0
rn10_eta0.2,10.0,0.2,F5,10,3,0.0
rn10_eta0.2,10.0,0.2,F5,10,4,0.0
rn10_eta0.2,10.0,0.2,F5,10,5,0.0
rn10_eta0.2,10.0,0.2,F5,10,6,0.0
rn10_eta0.2,10.0,0.2,F5,10,7,0.0
rn10_eta0.2,10.0,0.2,F5,10,8,0.0
rn10_eta0.2,10.0,0.2,F5,10,9,0.0
rn10_eta0.2,10.0,0.2,F5,30,0,0.0
rn10_eta0.2,10.0,0.2,F5,30,1,0.0
rn10_eta0.2,10.0,0.2,F5,30,2,1.2443774721759837e-07
rn10_eta0.2,10.0,0.2,F5,30,3,0.0
rn10_eta0.2,10.0,0.2,F5,30,4,0.0
rn10_eta0.2,10.0,0.2,F5,30,5,0.0
rn10_eta0.2,10.0,0.2,F5,30,6,0.0
rn10_eta0.2,10.0,0.2,F5,30,7,0.0
rn10_eta0.2,10.0,0.2,F5,30,8,0.0
rn10_eta0.2,10.0,0.2,F5,30,9,1.2443774721759837e-07
rn10_eta0.2,10.0,0.2,F6,10,0,11.529121766745677
rn10_eta0.2,10.0,0.2,F6,10,1,11.365261151083928
rn10_eta0.2,10.0,0.2,F6,10,2,11.692982382407422
rn10_eta0.2,10.0,0.2,F6,10,3,11.692982382407422
rn10_eta0.2,10.0,0.2,F6,10,4,11.692982382407536
rn10_eta0.2,10.0,0.2,F6,10,5,11.692982382407536
rn10_eta0.2,10.0,0.2,F6,10,6,10.873679304098689
rn10_eta0.2,10.0,0.2,F6,10,7,12.962787213960835
rn10_eta0.2,10.0,0.2,F6,10,8,11.20140053542218
rn10_eta0.2,10.0,0.2,F6,10,9,11.529121766745677
rn10_eta0.2,10.0,0.2,F6,30,0,37.478407531249104
rn10_eta0.2,10.0,0.2,F6,30,1,38.20369784461116
rn10_eta0.2,10.0,0.2,F6,30,2,40.02482690301929
rn10_eta0.2,10.0,0.2,F6,30,3,35.780794616735534
rn10_eta0.2,10.0,0.2,F6,30,4,37.43723548328421
rn10_eta0.2,10.0,0.2,F6,30,5,40.66777312045156
rn10_eta0.2,10.0,0.2,F6,30,6,43.93948280558402
rn10_eta0.2,10.0,0.2,F6,30,7,39.90130840153063
rn10_eta0.2,10.0,0.2,F6,30,8,35.78079461673565
rn10_eta0.2,10.0,0.2,F6,30,9,38.28604194054094
rn10_eta0.2,10.0,0.2,F7,10,0,4.0
rn10_eta0.2,10.0,0.2,F7,10,1,4.0
rn10_eta0.2,10.0,0.2,F7,10,2,6.000000081122266
rn10_eta0.2,10.0,0.2,F7,10,3,6.000000113327474
rn10_eta0.2,10.0,0.2,F7,10,4,6.0
rn10_eta0.2,10.0,0.2,F7,10,5,4.0
rn10_eta0.2,10.0,0.2,F7,10,6,4.000054413073599
rn10_eta0.2,10.0,0.2,F7,10,7,6.0
rn10_eta0.2,10.0,0.2,F7,10,8,8.0
rn10_eta0.2,10.0,0.2,F7,10,9,6.0
rn10_eta0.2,10.0,0.2,F7,30,0,24.0
rn10_eta0.2,10.0,0.2,F7,30,1,34.000000000000114
rn10_eta0.2,10.0,0.2,F7,30,2,24.000000000000117
rn10_eta0.2,10.0,0.2,F7,30,3,32.0
rn10_eta0.2,10.0,0.2,F7,30,4,26.0
rn10_eta0.2,10.0,0.2,F7,30,5,28.000000000000117
rn10_eta0.2,10.0,0.2,F7,30,6,30.0
rn10_eta0.2,10.0,0.2,F7,30,7,24.0
rn10_eta0.2,10.0,0.2,F7,30,8,26.0
rn10_eta0.2,10.0,0.2,F7,30,9,26.000000000000117
rn10_eta0.2,10.0,0.2,F9,10,0,16.887698572227237
rn10_eta0.2,10.0,0.2,F9,10,1,10.307337450097291
rn10_eta0.2,10.0,0.2,F9,10,2,3.664778451847269
rn10_eta0.2,10.0,0.2,F9,10,3,19.16894129042521
rn10_eta0.2,10.0,0.2,F9,10,4,7.017638961609009
rn10_eta0.2,10.0,0.2,F9,10,5,3.685341878281178
rn10_eta0.2,10.0,0.2,F9,10,6,0.4996355283110461
rn10_eta0.2,10.0,0.2,F9,10,7,6.905609166536124
rn10_eta0.2,10.0,0.2,F9,10,8,6.954830257502181
rn10_eta0.2,10.0,0.2,F9,10,9,0.3758943219609136
rn10_eta0.2,10.0,0.2,F9,30,0,1222.7387391024076
rn10_eta0.2,10.0,0.2,F9,30,1,845.9884794171812
rn10_eta0.2,10.0,0.2,F9,30,2,1081.0247516713098
rn10_eta0.2,10.0,0.2,F9,30,3,885.4384106414509
rn10_eta0.2,10.0,0.2,F9,30,4,1036.1638146716032
rn10_eta0.2,10.0,0.2,F9,30,5,862.5663728356976
rn10_eta0.2,10.0,0.2,F9,30,6,834.0728150823816
rn10_eta0.2,10.0,0.2,F9,30,7,918.9900481245604
rn10_eta0.2,10.0,0.2,F9,30,8,915.3171934151452
rn10_eta0.2,10.0,0.2,F9,30,9,1024.9723210949503
rn10_eta0.2,10.0,0.2,F10,10,0,0.0
rn10_eta0.2,10.0,0.2,F10,10,1,0.0
rn10_eta0.2,10.0,0.2,F10,10,2,4.696387667523368
rn10_eta0.2,10.0,0.2,F10,10,3,0.0
rn10_eta0.2,10.0,0.2,F10,10,4,0.0
rn10_eta0.2,10.0,0.2,F10,10,5,3.701428610430071
