Alg,Function,Dim,Run,Best
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,4,3.8396978840915215
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,5,2.300864981557079
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,6,1.4962635146092866
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,7,3.7708119522993484
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,8,2.97324803174441
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,9,3.6706115190865223
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,10,4.461827713123778
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,11,2.263076344026222
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,12,2.4434673383607435
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,13,3.4857935268557165
A: pop6 (2-bosqich g'olibi),Rosenbrock,30,14,5.399640352259845
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,0,140.98704754130816
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,1,1744.5967420645425
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,2,144.03969022629371
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,3,230.5118407850962
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,4,718.9525776811035
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,5,60.47572776973485
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,6,719.6515608447742
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,7,13.979177109446393
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,8,5.748474731396086
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,9,3572.2999452903036
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,10,41.22910474639986
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,11,144.4493789986168
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,12,1147.6261194659962
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,13,2294.3513283286006
A: pop6 (2-bosqich g'olibi),RotatedElliptic,30,14,6.945497192127803
A: pop6 (2-bosqich g'olibi),Schwefel,30,0,118.43871644142564
A: pop6 (2-bosqich g'olibi),Schwefel,30,1,236.8770510558661
A: pop6 (2-bosqich g'olibi),Schwefel,30,2,118.43871644142746
A: pop6 (2-bosqich g'olibi),Schwefel,30,3,0.00038182698881428223
A: pop6 (2-bosqich g'olibi),Schwefel,30,4,355.3153856703011
