Config,Function,Dim,Run,Best
-(1+1)ES tail,Schwefel,100,1,16503.410886705755
-(1+1)ES tail,Schwefel,100,2,16187.738171421024
-(1+1)ES tail,Schwefel,100,3,8310.547343035047
-(1+1)ES tail,Schwefel,100,4,8963.507874593888
-(1+1)ES tail,Schwefel,100,5,13542.553310993524
-(1+1)ES tail,Schwefel,100,6,16661.302333989126
-(1+1)ES tail,Schwefel,100,7,18736.234211316056
-(1+1)ES tail,Schwefel,100,8,8665.95151596296
-(1+1)ES tail,Schwefel,100,9,17511.889503858045
-(1+1)ES tail,Schwefel,100,10,14865.795111812244
-(1+1)ES tail,NoisyRastrigin,50,0,53.754324639561275
-(1+1)ES tail,NoisyRastrigin,50,1,55.75659668174269
-(1+1)ES tail,NoisyRastrigin,50,2,72.67772603958566
-(1+1)ES tail,NoisyRastrigin,50,3,64.69850860410179
-(1+1)ES tail,NoisyRastrigin,50,4,51.76820379355944
-(1+1)ES tail,NoisyRastrigin,50,5,58.7305391870422
-(1+1)ES tail,NoisyRastrigin,50,6,106.48105188423253
-(1+1)ES tail,NoisyRastrigin,50,7,40.839878742427075
-(1+1)ES tail,NoisyRastrigin,50,8,55.742831940555064
-(1+1)ES tail,NoisyRastrigin,50,9,61.724226923068144
-(1+1)ES tail,NoisyRastrigin,50,10,86.58683391269678
-(1+1)ES tail,NoisyRastrigin,100,0,132.3821364597983
-(1+1)ES tail,NoisyRastrigin,100,1,161.23903997267584
-(1+1)ES tail,NoisyRastrigin,100,2,144.3765167334339
-(1+1)ES tail,NoisyRastrigin,100,3,122.45890107889653
-(1+1)ES tail,NoisyRastrigin,100,4,112.51162844715554
-(1+1)ES tail,NoisyRastrigin,100,5,155.28428012404112
-(1+1)ES tail,NoisyRastrigin,100,6,162.25331373307873
-(1+1)ES tail,NoisyRastrigin,100,7,146.317238022795
-(1+1)ES tail,NoisyRastrigin,100,8,158.28427494905935
-(1+1)ES tail,NoisyRastrigin,100,9,97.59220613014878
-(1+1)ES tail,NoisyRastrigin,100,10,140.34979390126594
-eigen crossover,Schwefel,30,0,1934.5040709192235
-eigen crossover,Schwefel,30,1,1539.698731814684
-eigen crossover,Schwefel,30,2,2368.8190206080453
-eigen crossover,Schwefel,30,3,2052.9424055336603
-eigen crossover,Schwefel,30,4,1677.8931112821556
-eigen crossover,Schwefel,30,5,1776.5917366281792
-eigen crossover,Schwefel,30,6,2724.120167988527
-eigen crossover,Schwefel,30,7,1756.8574462199886
-eigen crossover,Schwefel,30,8,2270.2313187914697
-eigen crossover,Schwefel,30,9,1539.698731814684
-eigen crossover,Schwefel,30,10,1895.0683915804093
-eigen crossover,Schwefel,50,0,3079.3973363536934
-eigen crossover,Schwefel,50,1,3651.8955184772785
-eigen crossover,Schwefel,50,2,4619.2803108079825
-eigen crossover,Schwefel,50,3,4165.128584784128
-eigen crossover,Schwefel,50,4,4520.578976031848
-eigen crossover,Schwefel,50,5,4323.563108776227
-eigen crossover,Schwefel,50,6,6040.603419706258
-eigen crossover,Schwefel,50,7,4895.61983268075
-eigen crossover,Schwefel,50,8,4184.887339067278
