Algorithm,Function,Dimension,Run,Best
ACE-SHADE,F8,10,14,20.21964824601355
ACE-SHADE,F8,10,15,0.2012153580026279
ACE-SHADE,F8,10,16,1.538458617656033
ACE-SHADE,F8,10,17,0.2514553822029484
ACE-SHADE,F8,10,18,0.2767698734473924
ACE-SHADE,F8,10,19,0.2821088354503445
ACE-SHADE,F8,10,20,0.1280927262187106
ACE-SHADE,F8,10,21,0.0575409987773127
ACE-SHADE,F8,10,22,0.0954958903171245
ACE-SHADE,F8,10,23,0.176217997954609
ACE-SHADE,F8,10,24,0.166662446666578
ACE-SHADE,F8,10,25,0.1027990896795927
ACE-SHADE,F8,10,26,0.1516197406226638
ACE-SHADE,F8,10,27,20.19446689617598
ACE-SHADE,F8,10,28,20.17313628795728
ACE-SHADE,F8,10,29,0.0932450647724181
N1-off,F8,10,0,0.5970927684484195
N1-off,F8,10,1,0.4686264491288057
N1-off,F8,10,2,0.2506737342273482
N1-off,F8,10,3,0.389710558411025
N1-off,F8,10,4,0.4018894175674177
N1-off,F8,10,5,0.633766007983013
N1-off,F8,10,6,0.4714520533493669
N1-off,F8,10,7,0.5905332583411109
N1-off,F8,10,8,0.3894224958326049
N1-off,F8,10,9,16.755638506419018
N1-off,F8,10,10,0.6491351596400818
N1-off,F8,10,11,0.4609985857996435
N1-off,F8,10,12,0.2142601304540221
N1-off,F8,10,13,0.4136660462036161
N1-off,F8,10,14,20.433141567928946
N1-off,F8,10,15,0.3903503797059784
N1-off,F8,10,16,0.5783433190827054
N1-off,F8,10,17,0.4792151284614192
N1-off,F8,10,18,0.4120539863451995
N1-off,F8,10,19,0.6916370352969352
N1-off,F8,10,20,1.1413213659161556
N1-off,F8,10,21,0.5541583743547562
N1-off,F8,10,22,0.4160731580595893
N1-off,F8,10,23,0.7794110432173511
N1-off,F8,10,24,0.3825423501762088
N1-off,F8,10,25,0.5443972588445831
N1-off,F8,10,26,0.2806616043335452
N1-off,F8,10,27,0.5304281058629385
N1-off,F8,10,28,0.6183449497661968
N1-off,F8,10,29,0.7411201765648912
N2-off,F8,10,0,20.265655571903608
N2-off,F8,10,1,0.0910183184323614
N2-off,F8,10,2,20.208956867526467
N2-off,F8,10,3,20.310697614146648
N2-off,F8,10,4,0.261760615384901
N2-off,F8,10,5,0.1511222966009882
N2-off,F8,10,6,20.17695777848849
N2-off,F8,10,7,0.4966182084403954
N2-off,F8,10,8,0.1513612122867016
N2-off,F8,10,9,20.23134946902337
N2-off,F8,10,10,0.2674968725436883
N2-off,F8,10,11,0.1074413705655388
N2-off,F8,10,12,0.5298389800000223
N2-off,F8,10,13,20.31651979741264
N2-off,F8,10,14,0.2044786977726289
N2-off,F8,10,15,0.4786053690522749
N2-off,F8,10,16,20.220915818700632
N2-off,F8,10,17,20.1937677593055
N2-off,F8,10,18,0.3094187960928138
N2-off,F8,10,19,0.1408647319476585
N2-off,F8,10,20,20.34323282885589
N2-off,F8,10,21,0.1612721998890265
N2-off,F8,10,22,0.0799827917198854
N2-off,F8,10,23,0.1951007014713468
N2-off,F8,10,24,22.990290760201788
N2-off,F8,10,25,20.280539556797063
N2-off,F8,10,26,0.0615751625527991
N2-off,F8,10,27,0.2126489918396146
N2-off,F8,10,28,0.1142046049867531
N2-off,F8,10,29,0.2482570134802699
cmu-population,F8,10,0,20.238581472287024
cmu-population,F8,10,1,0.1172092950382648
cmu-population,F8,10,2,0.1744018642698392
cmu-population,F8,10,3,0.1399052248152656
cmu-population,F8,10,4,0.1536446292120672
cmu-population,F8,10,5,0.1288332075300786
cmu-population,F8,10,6,0.1042038024343128
cmu-population,F8,10,7,0.1525700954907733
cmu-population,F8,10,8,0.2036345437736599
cmu-population,F8,10,9,20.153585268482857
cmu-population,F8,10,10,0.1144867236216669
cmu-population,F8,10,11,0.1881513301864288
cmu-population,F8,10,12,0.449530987797516
cmu-population,F8,10,13,0.1914333654176516
cmu-population,F8,10,14,0.199501977995169
cmu-population,F8,10,15,0.3041162234662806
cmu-population,F8,10,16,0.243166261630904
