Algorithm,Function,Dimension,Run,Best
LSHADE-cnEpSin,F10,10,23,221.12205728252368
LSHADE-cnEpSin,F10,10,24,220.96100064064103
LSHADE-cnEpSin,F10,10,25,220.87264974897928
LSHADE-cnEpSin,F10,10,26,220.87264974897928
LSHADE-cnEpSin,F10,10,27,220.8726497489797
LSHADE-cnEpSin,F10,10,28,220.8726497489797
LSHADE-cnEpSin,F10,10,29,220.87264974897928
LSHADE-RSP,F10,10,0,220.87264974897928
LSHADE-RSP,F10,10,1,220.87264974897928
LSHADE-RSP,F10,10,2,220.87264974897928
LSHADE-RSP,F10,10,3,220.87264974897928
LSHADE-RSP,F10,10,4,220.87264974897928
LSHADE-RSP,F10,10,5,220.87264974897928
LSHADE-RSP,F10,10,6,220.87264974897928
LSHADE-RSP,F10,10,7,220.87264974897928
LSHADE-RSP,F10,10,8,220.87264974897928
LSHADE-RSP,F10,10,9,220.87264974897928
LSHADE-RSP,F10,10,10,220.87264974897928
LSHADE-RSP,F10,10,11,220.87264974897928
LSHADE-RSP,F10,10,12,220.87264974897928
LSHADE-RSP,F10,10,13,220.8726497489797
LSHADE-RSP,F10,10,14,220.87264974897928
LSHADE-RSP,F10,10,15,220.8726497489797
LSHADE-RSP,F10,10,16,220.8726497489797
LSHADE-RSP,F10,10,17,220.87264974897928
LSHADE-RSP,F10,10,18,220.87264974897928
LSHADE-RSP,F10,10,19,220.87264974897928
LSHADE-RSP,F10,10,20,220.8726497489797
LSHADE-RSP,F10,10,21,220.87264974897928
LSHADE-RSP,F10,10,22,220.87264974897928
LSHADE-RSP,F10,10,23,220.87264974897928
LSHADE-RSP,F10,10,24,220.87264974897928
LSHADE-RSP,F10,10,25,220.87264974897928
LSHADE-RSP,F10,10,26,220.87264974897928
LSHADE-RSP,F10,10,27,220.87264974897928
LSHADE-RSP,F10,10,28,220.87264974897928
LSHADE-RSP,F10,10,29,220.8726497489797
jSO,F10,10,0,220.87264974897928
jSO,F10,10,1,220.87264974897928
jSO,F10,10,2,220.87264974897928
jSO,F10,10,3,220.87264974897928
jSO,F10,10,4,220.87264974897928
jSO,F10,10,5,220.87264974897928
jSO,F10,10,6,220.87264974897928
jSO,F10,10,7,220.87264974897928
jSO,F10,10,8,220.87264974897928
jSO,F10,10,9,220.8726497489797
jSO,F10,10,10,220.87264974897928
jSO,F10,10,11,220.87264974897928
jSO,F10,10,12,220.87264974897928
