Function,Dimension,Algorithm,best,worst,mean,std,median,iqr
NoisyRastrigin,30,WOA,228.85108715327428,302.99861661646673,266.40405576232223,22.095350101659086,261.57322830940996,27.945320152931004
NoisyRastrigin,30,HHO,220.14744970410743,319.55406711619787,272.1011958648817,26.38353156902231,275.64996397883704,21.751143377661037
NoisyRastrigin,30,GWO,265.01612336136327,301.6168664128333,279.59712057312083,12.092604666117346,278.13372649403925,16.12130192331773
NoisyRastrigin,30,HHO_orig,275.2837581470646,350.01956808137265,311.35336033465217,22.30047815650121,312.4799832136374,26.293816281974784
NoisySphere,30,TEMOA_V11,0.005948692720404231,0.015512632913210346,0.010277832983711625,0.0034025714171096034,0.01058268472311616,0.005953800778355072
NoisySphere,30,jSO,0.005178530445981921,0.015063772215011238,0.010303464434644534,0.002815977860180303,0.010726696660570703,0.002768767517612347
NoisySphere,30,TEMOA_V10,0.007626188049894378,0.014378748078783143,0.011095414944239268,0.002136967004249938,0.011084101885688903,0.0030566053005586583
NoisySphere,30,LSHADE,0.011041212253314375,0.019682286828125714,0.01504825805528722,0.002552310172194857,0.014375808826473484,0.004048839705868482
NoisySphere,30,DE,0.010745539635496569,0.029001227684322152,0.017459988955252064,0.004890765021374492,0.01709327809041474,0.005566286434641457
NoisySphere,30,HHO,7.934630866327941,14.741976563539435,10.392082673917516,2.266235031362137,10.422843316841817,2.2823515270468135
NoisySphere,30,SCA,68.07957788228698,129.4529023790059,96.04834227696931,19.203517127111777,91.36720335849594,22.531573239831815
NoisySphere,30,PSO,0.014361792713990377,9673.812191192103,3978.72635449444,3002.4601133644583,3629.3576168309164,4677.593689595647
NoisySphere,30,GWO,17827.47985738769,28339.033314521785,22622.06330293293,3503.1588815708933,22626.817693349025,4546.3120817445015
NoisySphere,30,PSO_orig,8727.803970105462,34135.05910167326,23214.322254619143,7613.879612718009,24743.47428007442,8668.336822030775
NoisySphere,30,WOA,16464.651528867664,37633.20275386115,25867.71175798935,6598.757486942414,25689.766462128697,8039.950967369707
NoisySphere,30,HHO_orig,22503.621540825923,41740.62526362766,34481.44245946801,6344.693670127144,34915.873712671906,8985.141903417647
Rosenbrock,30,TEMOA_V10,9.745515299199726,69.14008827185677,17.650100005574053,16.311101649259157,12.973698895149141,2.5821692169185386
Rosenbrock,30,TEMOA_V11,12.366639712814708,15.36162318470941,13.918696088601399,0.7870602799589835,14.054408972885554,0.782107606526683
Rosenbrock,30,jSO,16.923893921408844,20.142170056834626,18.44062750285302,1.153507269971535,17.880640943188922,1.8210945889644812
